thresh,video,frame,x,y,w,h,class
0.200000,videoplayback_001_1.webm,45,372,157,17,18,school
0.200000,videoplayback_001_1.webm,45,549,153,12,18,signalAhead
0.200000,videoplayback_001_1.webm,45,555,157,14,13,signalAhead
0.200000,videoplayback_001_1.webm,46,369,156,15,19,school
0.200000,videoplayback_001_1.webm,46,374,156,19,17,addedLane
0.200000,videoplayback_001_1.webm,46,564,152,13,17,pedestrianCrossing
0.200000,videoplayback_001_1.webm,46,568,155,14,14,stopAhead
0.200000,videoplayback_001_1.webm,47,6,76,25,37,keepRight
0.200000,videoplayback_001_1.webm,47,375,156,17,17,school
0.200000,videoplayback_001_1.webm,48,372,157,14,18,school
0.200000,videoplayback_001_1.webm,48,378,157,17,16,school
0.200000,videoplayback_001_1.webm,48,607,153,13,14,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,49,370,156,14,19,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,49,377,155,17,18,school
0.200000,videoplayback_001_1.webm,49,618,148,14,15,pedestrianCrossing
0.200000,videoplayback_001_1.webm,50,370,155,17,19,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,50,378,154,20,20,school
0.200000,videoplayback_001_1.webm,50,635,152,18,17,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,51,369,154,18,21,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,51,378,155,20,20,signalAhead
0.200000,videoplayback_001_1.webm,51,651,145,30,24,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,52,370,154,18,22,school
0.200000,videoplayback_001_1.webm,52,379,155,19,20,signalAhead
0.200000,videoplayback_001_1.webm,52,677,152,14,19,speedLimit40
0.200000,videoplayback_001_1.webm,52,686,150,13,23,speedLimitUrdbl
0.200000,videoplayback_001_1.webm,53,373,153,19,23,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,53,381,154,19,22,signalAhead
0.200000,videoplayback_001_1.webm,54,374,152,17,25,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,54,382,152,18,24,signalAhead
0.200000,videoplayback_001_1.webm,55,375,153,17,24,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,55,384,152,17,23,signalAhead
0.200000,videoplayback_001_1.webm,56,376,153,17,23,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,56,385,152,18,23,signalAhead
0.200000,videoplayback_001_1.webm,57,377,152,17,23,school
0.200000,videoplayback_001_1.webm,57,386,151,18,22,signalAhead
0.200000,videoplayback_001_1.webm,58,376,152,18,22,school
0.200000,videoplayback_001_1.webm,58,386,151,18,21,signalAhead
0.200000,videoplayback_001_1.webm,59,378,151,19,22,school
0.200000,videoplayback_001_1.webm,59,388,150,19,23,school
0.200000,videoplayback_001_1.webm,60,377,151,17,23,schoolSpeedLimit25
0.200000,videoplayback_001_1.webm,60,390,150,19,24,school
0.200000,videoplayback_001_1.webm,61,389,151,19,23,school
0.200000,videoplayback_001_1.webm,62,415,142,18,26,signalAhead
0.200000,videoplayback_001_1.webm,62,398,145,23,25,addedLane
0.200000,videoplayback_001_1.webm,63,412,142,21,27,signalAhead
0.200000,videoplayback_001_1.webm,63,399,144,24,25,merge
0.200000,videoplayback_001_1.webm,64,411,141,21,29,signalAhead
0.200000,videoplayback_001_1.webm,64,400,144,23,26,rampSpeedAdvisory50
